id	Day	Group	mice_id	vendor
SRR15423118	0	Resistant starch	GR1	Guangdong
SRR15423120	0	Cellulose	GC5	Guangdong
SRR15423121	0	Cellulose	GC4	Guangdong
SRR15423122	0	Cellulose	GC3	Guangdong
SRR15423123	0	Cellulose	GC2	Guangdong
SRR15423124	0	Cellulose	GC1	Guangdong
SRR15423127	5	Cellulose	SC5	Shanghai
SRR15423128	0	Cellulose	SC4	Shanghai
SRR15423141	5	Cellulose	BC4	Beijing
SRR15423142	5	Cellulose	BC3	Beijing
SRR15423143	5	Cellulose	BC2	Beijing
SRR15423144	5	Cellulose	BC1	Beijing
SRR15423158	31	Cellulose	BC5	Beijing
SRR15423159	31	Cellulose	BC4	Beijing
SRR15423160	31	Cellulose	BC3	Beijing
SRR15423161	31	Cellulose	BC2	Beijing
SRR15423162	31	Cellulose	BC1	Beijing
SRR15423214	0	Inulin	BI5	Beijing
SRR15423223	31	Inulin	SI4	Shanghai
SRR15423227	5	Cellulose	SC4	Shanghai
SRR15423239	5	Cellulose	SC3	Shanghai
SRR15423245	31	Inulin	SI3	Shanghai
SRR15423251	5	Cellulose	SC2	Shanghai
SRR15423291	0	Resistant starch	SR4	Shanghai
SRR15423296	13	Inulin	SI5	Shanghai
SRR15423297	13	Inulin	SI4	Shanghai
SRR15423298	13	Inulin	SI3	Shanghai
SRR15423299	0	Inulin	BI4	Beijing
SRR15423300	13	Inulin	SI2	Shanghai
SRR15423301	13	Inulin	SI1	Shanghai
SRR15423303	0	Resistant starch	SR3	Shanghai
SRR15423308	13	Resistant starch	SR5	Shanghai
SRR15423309	13	Resistant starch	SR4	Shanghai
SRR15423311	13	Resistant starch	SR3	Shanghai
SRR15423312	13	Resistant starch	SR2	Shanghai
SRR15423313	13	Resistant starch	SR1	Shanghai
SRR15423327	5	Cellulose	SC1	Shanghai
SRR15423331	31	Inulin	SI2	Shanghai
SRR15423340	0	Inulin	SI5	Shanghai
SRR15423350	13	Cellulose	SC5	Shanghai
SRR15423351	0	Resistant starch	SR2	Shanghai
SRR15423352	13	Cellulose	SC4	Shanghai
SRR15423353	0	Inulin	BI3	Beijing
SRR15423354	13	Cellulose	SC3	Shanghai
SRR15423355	13	Cellulose	SC2	Shanghai
SRR15423356	13	Cellulose	SC1	Shanghai
SRR15423358	5	Inulin	SI5	Shanghai
SRR15423360	5	Inulin	SI4	Shanghai
SRR15423362	5	Inulin	SI3	Shanghai
SRR15423365	5	Inulin	SI2	Shanghai
SRR15423367	5	Inulin	SI1	Shanghai
SRR15423369	0	Resistant starch	SR1	Shanghai
